Ethnicity,Gender,GPA,ACT Score,Household Income,Urban or Rural,Public or Private,Class Rank,Decision
Hispanic,Male,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,32,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.4,32,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,32,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.4,32,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
Hispanic,Male,3.4,32,$160000,Urban,Private School,Top 5%,REJECT
Hispanic,Male,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
Hispanic,Male,3.4,32,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,32,$160000,Rural,Public School,Top 15%,REJECT
Hispanic,Male,3.4,32,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,32,$160000,Rural,Private School,Top 15%,REJECT
Hispanic,Male,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$160000,Urban,Private School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$160000,Urban,Public School,Top 15%,REJECT
Hispanic,Male,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$160000,Urban,Private School,Top 15%,REJECT
Hispanic,Male,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,32,$160000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Male,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Male,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,32,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,32,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,32,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,32,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,32,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$160000,Urban,Public School,Top 15%,REJECT
Hispanic,Female,3.4,32,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$160000,Urban,Private School,Top 15%,REJECT
Hispanic,Female,3.4,32,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$160000,Rural,Public School,Top 15%,REJECT
Hispanic,Female,3.4,32,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,32,$160000,Rural,Private School,Top 15%,REJECT
Hispanic,Female,3.4,36,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$160000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$160000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.4,36,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.4,36,$160000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$160000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$160000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,32,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,32,$160000,Rural,Private School,Top 15%,REJECT
Hispanic,Female,3.8,36,$40000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$40000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$40000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$40000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$40000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$40000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$40000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$40000,Rural,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$160000,Urban,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$160000,Urban,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$160000,Urban,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$160000,Urban,Private School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$160000,Rural,Public School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$160000,Rural,Public School,Top 15%,ADMIT
Hispanic,Female,3.8,36,$160000,Rural,Private School,Top 5%,ADMIT
Hispanic,Female,3.8,36,$160000,Rural,Private School,Top 15%,ADMIT
